timestamp,order_id,symbol,direction,quantity,entry_price,stop_loss,target,strategy,confidence,rr,event,exit_price,pnl,reason
2026-08-24 11:08:40,SIM_SUZLON_BUY_Q5_P75.11_1787549920498,SUZLON,BUY,5,75.0,74.0,80.0,Breakout_Volume,7.5,5.0,OPEN,,,
2026-08-24 11:08:42,SIM_TATASTEEL_BUY_Q1_P160.24_1787549922629,TATASTEEL,BUY,1,160.0,155.0,175.0,Breakout_Volume,7.5,3.0,OPEN,,,
2026-08-27 12:51:59,SIM_SUZLON_BUY_Q5_P75.11_1787549920498,SUZLON,BUY,5,75.11,,,Breakout_Volume,,,CLOSE,75.11,0.0,SESSION_EXPIRED_DEEP_ORPHAN
2026-08-27 12:51:59,SIM_TATASTEEL_BUY_Q1_P160.24_1787549922629,TATASTEEL,BUY,1,160.24,,,Breakout_Volume,,,CLOSE,160.24,0.0,SESSION_EXPIRED_DEEP_ORPHAN
2026-08-27 12:55:10,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:13,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,93.0,-119.59,close_sl
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,REPLACEMENT
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,emergency_close
2026-08-27 12:55:14,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,100.0,-49.68,SESSION_EXPIRED
2026-08-27 12:55:15,FAKE_AAPL_001,AAPL,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,manual
2026-08-27 12:55:15,FAKE_GOOG_001,GOOG,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,93.0,-119.59,manual
2026-08-27 12:55:15,FAKE_PNL_001,RELIANCE,BUY,5,200.0,190.0,220.0,Momentum,,,CLOSE,210.0,0.26,close_target
2026-08-27 12:55:43,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:46,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:46,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,93.0,-119.59,close_sl
2026-08-27 12:55:46,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:46,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:47,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,close_target
2026-08-27 12:55:47,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,REPLACEMENT
2026-08-27 12:55:47,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,emergency_close
2026-08-27 12:55:48,FAKE_TEST_001,TEST,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,100.0,-49.68,SESSION_EXPIRED
2026-08-27 12:55:48,FAKE_AAPL_001,AAPL,BUY,10,100.0,95.0,110.0,TestStrat,,,CLOSE,105.0,0.26,manual
